#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
chromosome,NZ_CP071982.1,156271,157314,+,66521405,recA,J5D21_RS00745,WP_000963113.1,347,recombinase RecA
chromosome,NZ_CP071982.1,157326,158606,+,66521406,eno,J5D21_RS00750,WP_209611932.1,426,phosphopyruvate hydratase
chromosome,NZ_CP071982.1,158599,158874,+,66521407,,J5D21_RS00755,WP_000841059.1,91,hypothetical protein
chromosome,NZ_CP071982.1,158891,159487,+,66521408,,J5D21_RS00760,WP_001899182.1,198,AMIN domain-containing protein
chromosome,NZ_CP071982.1,159492,159980,+,66521409,,J5D21_RS00765,WP_077645240.1,162,shikimate kinase
chromosome,NZ_CP071982.1,160001,160957,+,66521410,,J5D21_RS00770,WP_001920498.1,318,PDC sensor domain-containing protein
chromosome,NZ_CP071982.1,160954,162072,-,66521411,,J5D21_RS00775,WP_209611935.1,372,glycosyltransferase family 8 protein
chromosome,NZ_CP071982.1,162226,163143,+,66521412,,J5D21_RS00780,WP_209611937.1,305,sel1 repeat family protein
chromosome,NZ_CP071982.1,163824,164546,-,66521413,,J5D21_RS00785,WP_000532109.1,240,YebC/PmpR family DNA-binding transcriptional regulator
chromosome,NZ_CP071982.1,164547,165518,-,66521414,hemB,J5D21_RS00790,WP_097564575.1,323,porphobilinogen synthase
chromosome,NZ_CP071982.1,165589,166872,-,66521415,arsS,J5D21_RS00795,WP_209611939.1,427,acid-sensing histidine kinase ArsS
chromosome,NZ_CP071982.1,166896,167573,-,66521416,arsR,J5D21_RS00800,WP_000573710.1,225,acid response regulator transcription factor ArsR
chromosome,NZ_CP071982.1,167981,168418,-,66521417,,J5D21_RS00805,WP_209611940.1,145,hypothetical protein
chromosome,NZ_CP071982.1,168409,168672,-,66521418,,J5D21_RS00810,WP_001939386.1,87,tetratricopeptide repeat protein
chromosome,NZ_CP071982.1,168716,169996,-,66521419,,J5D21_RS00815,WP_209611942.1,426,U32 family peptidase
chromosome,NZ_CP071982.1,169999,170730,-,66521420,,J5D21_RS00820,WP_209611944.1,243,chemotaxis protein
chromosome,NZ_CP071982.1,170800,171891,-,66521421,prfB,J5D21_RS00825,WP_000371114.1,363,peptide chain release factor 2
chromosome,NZ_CP071982.1,171952,173127,-,66521422,,J5D21_RS00830,WP_209611946.1,391,molybdopterin molybdotransferase MoeA
chromosome,NZ_CP071982.1,173137,173904,-,66521423,fliR,J5D21_RS00835,WP_209611948.1,255,flagellar biosynthetic protein FliR
chromosome,NZ_CP071982.1,173898,174626,-,66521424,,J5D21_RS00840,WP_209611949.1,242,EI24 domain-containing protein
chromosome,NZ_CP071982.1,174734,174952,-,71772596,,J5D21_RS07690,WP_089086558.1,72,hypothetical protein
chromosome,NZ_CP071982.1,175101,176000,+,66521425,cbf2,J5D21_RS00845,WP_000739442.1,299,peptidylprolyl isomerase CBF2
chromosome,NZ_CP071982.1,176017,176940,+,66521426,,J5D21_RS00850,WP_000960453.1,307,"class II fructose-1,6-bisphosphate aldolase"
chromosome,NZ_CP071982.1,176962,177525,+,66521427,efp,J5D21_RS00855,WP_000974266.1,187,elongation factor P
chromosome,NZ_CP071982.1,178263,179285,-,66521428,pseI,J5D21_RS00860,WP_209611951.1,340,pseudaminic acid synthase
chromosome,NZ_CP071982.1,179289,179930,-,66521429,,J5D21_RS00865,WP_001983466.1,213,ABC transporter ATP-binding protein
chromosome,NZ_CP071982.1,179930,181204,-,66521430,,J5D21_RS00870,WP_209611953.1,424,apolipoprotein N-acyltransferase
chromosome,NZ_CP071982.1,181440,182150,+,66521431,,J5D21_RS00875,WP_209611955.1,236,CvpA family protein
chromosome,NZ_CP071982.1,182160,183665,+,66521432,lysS,J5D21_RS00880,WP_209611956.1,501,lysine--tRNA ligase
chromosome,NZ_CP071982.1,183665,184915,+,66521433,,J5D21_RS00885,WP_209611958.1,416,serine hydroxymethyltransferase
chromosome,NZ_CP071982.1,184926,185468,+,66521434,,J5D21_RS00890,WP_000138099.1,180,DUF1882 domain-containing protein
chromosome,NZ_CP071982.1,185490,186299,+,66521435,,J5D21_RS00895,WP_187944864.1,269,SPOR domain-containing protein
chromosome,NZ_CP071982.1,188662,189195,+,66521437,,J5D21_RS00905,WP_000890449.1,177,TIGR00645 family protein
chromosome,NZ_CP071982.1,189202,190710,-,66521438,clsC,J5D21_RS00910,WP_165550891.1,502,cardiolipin synthase ClsC
chromosome,NZ_CP071982.1,190732,191469,-,66521439,,J5D21_RS00915,WP_209611960.1,245,fumarate reductase iron-sulfur subunit
chromosome,NZ_CP071982.1,191462,193606,-,66521440,,J5D21_RS00920,WP_108253568.1,714,fumarate reductase flavoprotein subunit
chromosome,NZ_CP071982.1,193616,194383,-,66521441,,J5D21_RS00925,WP_001183641.1,255,fumarate reductase cytochrome b subunit
chromosome,NZ_CP071982.1,194593,195297,+,66521442,,J5D21_RS00930,WP_021186967.1,234,triose-phosphate isomerase
chromosome,NZ_CP071982.1,195307,196134,+,66521443,fabI,J5D21_RS00935,WP_209611961.1,275,enoyl-ACP reductase FabI
chromosome,NZ_CP071982.1,196144,197154,+,66521444,lpxD,J5D21_RS00940,WP_077645225.1,336,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
chromosome,NZ_CP071982.1,197220,198377,+,66521445,metK,J5D21_RS00945,WP_000655115.1,385,methionine adenosyltransferase
chromosome,NZ_CP071982.1,198444,198857,+,66521446,ndk,J5D21_RS00950,WP_000813752.1,137,nucleoside-diphosphate kinase
chromosome,NZ_CP071982.1,198882,199238,+,66521447,,J5D21_RS00955,WP_079331305.1,118,hypothetical protein
chromosome,NZ_CP071982.1,199254,199400,+,66521448,rpmF,J5D21_RS00960,WP_079369119.1,48,50S ribosomal protein L32
chromosome,NZ_CP071982.1,199478,200497,+,66521449,plsX,J5D21_RS00965,WP_209611963.1,339,phosphate acyltransferase PlsX
chromosome,NZ_CP071982.1,200521,201516,+,66521450,,J5D21_RS00970,WP_000397807.1,331,ketoacyl-ACP synthase III
chromosome,NZ_CP071982.1,201540,201842,+,66521451,,J5D21_RS00975,WP_001881064.1,100,hypothetical protein
chromosome,NZ_CP071982.1,202523,202906,-,66521452,,J5D21_RS00980,WP_000473932.1,127,hypothetical protein
chromosome,NZ_CP071982.1,206040,207146,+,66521454,,J5D21_RS00990,WP_244965183.1,368,P-loop NTPase
chromosome,NZ_CP071982.1,208541,209893,+,66521457,,J5D21_RS01005,WP_209611970.1,450,outer membrane family protein
chromosome,NZ_CP071982.1,209996,211861,+,66521458,htpG,J5D21_RS01010,WP_209611972.1,621,molecular chaperone HtpG
chromosome,NZ_CP071982.1,212064,212816,-,66521459,hcpA,J5D21_RS01015,WP_209553982.1,250,sel1 repeat family protein
chromosome,NZ_CP071982.1,213257,214408,-,66521460,dapE,J5D21_RS01020,WP_209611974.1,383,succinyl-diaminopimelate desuccinylase
chromosome,NZ_CP071982.1,214419,216284,-,66521461,mnmG,J5D21_RS01025,WP_209611975.1,621,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
chromosome,NZ_CP071982.1,216380,218026,+,66521462,,J5D21_RS01030,WP_209611977.1,548,SLC13 family permease
chromosome,NZ_CP071982.1,218039,218839,+,66521463,,J5D21_RS01035,WP_209611979.1,266,phosphatidate cytidylyltransferase
chromosome,NZ_CP071982.1,218840,219946,+,66521464,dxr,J5D21_RS01040,WP_209611981.1,368,1-deoxy-D-xylulose-5-phosphate reductoisomerase
chromosome,NZ_CP071982.1,219996,220316,+,66521465,,J5D21_RS01045,WP_021171671.1,106,hypothetical protein
chromosome,NZ_CP071982.1,220291,221145,+,66521466,,J5D21_RS01050,WP_021171670.1,284,"beta-1,4-N-acetylgalactosamyltransferase"
chromosome,NZ_CP071982.1,221215,221766,-,66521467,,J5D21_RS01055,WP_000846548.1,183,YbhB/YbcL family Raf kinase inhibitor-like protein
chromosome,NZ_CP071982.1,221912,222376,+,66521468,,J5D21_RS01060,WP_031246053.1,154,helix-turn-helix domain containing protein
chromosome,NZ_CP071982.1,222544,223707,+,66521469,,J5D21_RS01065,WP_000941654.1,387,NifS family cysteine desulfurase
chromosome,NZ_CP071982.1,223729,224709,+,66521470,,J5D21_RS01070,WP_001051932.1,326,iron-sulfur cluster assembly scaffold protein NifU
chromosome,NZ_CP071982.1,224870,225103,+,66521471,,J5D21_RS01075,WP_000858673.1,77,ribbon-helix-helix domain-containing protein
chromosome,NZ_CP071982.1,225217,226563,+,66521472,radA,J5D21_RS01080,WP_209611983.1,448,DNA repair protein RadA
chromosome,NZ_CP071982.1,226688,227767,+,66521473,msrB,J5D21_RS01085,WP_077645060.1,359,peptide-methionine (R)-S-oxide reductase MsrB
chromosome,NZ_CP071982.1,228154,228987,-,66521474,,J5D21_RS01090,WP_000392976.1,277,sulfite exporter TauE/SafE family protein
chromosome,NZ_CP071982.1,229198,231279,-,66521475,hopM,J5D21_RS01095,WP_244965184.1,693,Hop family outer membrane protein HopM/HopN
chromosome,NZ_CP071982.1,231535,232692,+,66521476,,J5D21_RS01100,WP_209611985.1,385,SulP family inorganic anion transporter
chromosome,NZ_CP071982.1,232929,234389,-,66521478,hopA,J5D21_RS01110,WP_209611987.1,486,outer membrane beta-barrel protein
chromosome,NZ_CP071982.1,234583,235314,-,66521479,kdsB,J5D21_RS01115,WP_209611988.1,243,3-deoxy-manno-octulosonate cytidylyltransferase
chromosome,NZ_CP071982.1,235427,236224,+,66521480,,J5D21_RS01120,WP_001948823.1,265,DsbA family protein
chromosome,NZ_CP071982.1,236240,236890,+,66521481,,J5D21_RS01125,WP_209611990.1,216,UPF0323 family lipoprotein
chromosome,NZ_CP071982.1,236916,238088,+,66521482,,J5D21_RS01130,WP_209611992.1,390,glutathionylspermidine synthase family protein
chromosome,NZ_CP071982.1,238088,238618,+,66521483,,J5D21_RS01135,WP_209611994.1,176,hypothetical protein
chromosome,NZ_CP071982.1,239400,240467,-,66521484,hcpE,J5D21_RS01140,WP_209611995.1,355,sel1 repeat family protein
chromosome,NZ_CP071982.1,240579,240944,-,66521485,,J5D21_RS01145,WP_209611997.1,121,c-type cytochrome
chromosome,NZ_CP071982.1,240944,241864,-,66521486,hemC,J5D21_RS01150,WP_209611999.1,306,hydroxymethylbilane synthase
chromosome,NZ_CP071982.1,241875,243608,-,66521487,proS,J5D21_RS01155,WP_209612001.1,577,proline--tRNA ligase
chromosome,NZ_CP071982.1,243612,244961,-,66521488,hemA,J5D21_RS01160,WP_209612003.1,449,glutamyl-tRNA reductase
